city,state_abbrev,state_name,county_name,zips
Sand Point,AK,Alaska,Aleutians East,99661
Akutan,AK,Alaska,Aleutians East,99553
King Cove,AK,Alaska,Aleutians East,99612
Cold Bay,AK,Alaska,Aleutians East,99571
Nelson Lagoon,AK,Alaska,Aleutians East,99571
False Pass,AK,Alaska,Aleutians East,99583
Unalaska,AK,Alaska,Aleutians West,99692 99685
St. Paul,AK,Alaska,Aleutians West,99660
Adak,AK,Alaska,Aleutians West,99546
St. George,AK,Alaska,Aleutians West,99591
Atka,AK,Alaska,Aleutians West,99547
Nikolski,AK,Alaska,Aleutians West,99638
Attu Station,AK,Alaska,Aleutians West,
Anchorage,AK,Alaska,Anchorage,99518 99515 99517 99516 99513 99540 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99511 99514 99520 99521 99522 99523 99524 99529 99530 99599
Bethel,AK,Alaska,Bethel,99559 99545
Kwethluk,AK,Alaska,Bethel,99621
Quinhagak,AK,Alaska,Bethel,99655
Tuntutuliak,AK,Alaska,Bethel,99680
Toksook Bay,AK,Alaska,Bethel,99637
Akiachak,AK,Alaska,Bethel,99551
Aniak,AK,Alaska,Bethel,99557
Kasigluk,AK,Alaska,Bethel,99609
Nunapitchuk,AK,Alaska,Bethel,99641
Kipnuk,AK,Alaska,Bethel,99614
Chefornak,AK,Alaska,Bethel,99561
Kongiganak,AK,Alaska,Bethel,99559
Napaskiak,AK,Alaska,Bethel,99559
Tununak,AK,Alaska,Bethel,99681
Kwigillingok,AK,Alaska,Bethel,99622
Akiak,AK,Alaska,Bethel,99552
Napakiak,AK,Alaska,Bethel,99634
Tuluksak,AK,Alaska,Bethel,99679
Nightmute,AK,Alaska,Bethel,99690
Eek,AK,Alaska,Bethel,99578
Newtok,AK,Alaska,Bethel,99559
Lower Kalskag,AK,Alaska,Bethel,99626
Goodnews Bay,AK,Alaska,Bethel,99589
Upper Kalskag,AK,Alaska,Bethel,99607
Mekoryuk,AK,Alaska,Bethel,99630
Atmautluak,AK,Alaska,Bethel,99559
Chuathbaluk,AK,Alaska,Bethel,99557
Sleetmute,AK,Alaska,Bethel,99668
Oscarville,AK,Alaska,Bethel,99559
Crooked Creek,AK,Alaska,Bethel,99575
Platinum,AK,Alaska,Bethel,99651
Stony River,AK,Alaska,Bethel,99557
Red Devil,AK,Alaska,Bethel,99656
Lime Village,AK,Alaska,Bethel,99557
Naknek,AK,Alaska,Bristol Bay,99633
King Salmon,AK,Alaska,Bristol Bay,99613
South Naknek,AK,Alaska,Bristol Bay,99670
Healy,AK,Alaska,Denali,99755 99743
Denali Park,AK,Alaska,Denali,99755
Anderson,AK,Alaska,Denali,99704 99760 99744
Cantwell,AK,Alaska,Denali,99729
Ferry,AK,Alaska,Denali,99760 99743
Dillingham,AK,Alaska,Dillingham,99576
Togiak,AK,Alaska,Dillingham,99678
New Stuyahok,AK,Alaska,Dillingham,99636
Manokotak,AK,Alaska,Dillingham,99628
Aleknagik,AK,Alaska,Dillingham,99555 99576
Koliganek,AK,Alaska,Dillingham,99576
Ekwok,AK,Alaska,Dillingham,99580
Twin Hills,AK,Alaska,Dillingham,99678
Clark's Point,AK,Alaska,Dillingham,99569
Portage Creek,AK,Alaska,Dillingham,99576
Fairbanks,AK,Alaska,Fairbanks North Star,99701 99703 99707
Badger,AK,Alaska,Fairbanks North Star,99705 99711
College,AK,Alaska,Fairbanks North Star,99709 99775
Steele Creek,AK,Alaska,Fairbanks North Star,99712 99710
Chena Ridge,AK,Alaska,Fairbanks North Star,99709
Farmers Loop,AK,Alaska,Fairbanks North Star,99712
Goldstream,AK,Alaska,Fairbanks North Star,99709 99708 99725
Eielson AFB,AK,Alaska,Fairbanks North Star,99702
North Pole,AK,Alaska,Fairbanks North Star,99705
Ester,AK,Alaska,Fairbanks North Star,99709
Salcha,AK,Alaska,Fairbanks North Star,99714
Moose Creek,AK,Alaska,Fairbanks North Star,99705
Two Rivers,AK,Alaska,Fairbanks North Star,99712
Pleasant Valley,AK,Alaska,Fairbanks North Star,99712 99716
South Van Horn,AK,Alaska,Fairbanks North Star,99709 99701
Fox,AK,Alaska,Fairbanks North Star,99712
Harding-Birch Lakes,AK,Alaska,Fairbanks North Star,99714
Haines,AK,Alaska,Haines,99827
Mosquito Lake,AK,Alaska,Haines,99827
Lutak,AK,Alaska,Haines,99827
Mud Bay,AK,Alaska,Haines,99827
Covenant Life,AK,Alaska,Haines,99827
Excursion Inlet,AK,Alaska,Haines,99827
Hoonah,AK,Alaska,Hoonah-Angoon,99829
Angoon,AK,Alaska,Hoonah-Angoon,99820
Gustavus,AK,Alaska,Hoonah-Angoon,99826
Tenakee Springs,AK,Alaska,Hoonah-Angoon,99841
Pelican,AK,Alaska,Hoonah-Angoon,99832
Klukwan,AK,Alaska,Hoonah-Angoon,99827
Elfin Cove,AK,Alaska,Hoonah-Angoon,99825
Juneau,AK,Alaska,Juneau,99824 99801 99802 99803 99811 99812 99821 99850
Kalifornsky,AK,Alaska,Kenai Peninsula,99610 99611 99669
Kenai,AK,Alaska,Kenai Peninsula,99611
Soldotna,AK,Alaska,Kenai Peninsula,99669
Homer,AK,Alaska,Kenai Peninsula,99603
Sterling,AK,Alaska,Kenai Peninsula,99672 99669
Nikiski,AK,Alaska,Kenai Peninsula,99611 99635
Seward,AK,Alaska,Kenai Peninsula,99664
Ridgeway,AK,Alaska,Kenai Peninsula,99611 99669
Anchor Point,AK,Alaska,Kenai Peninsula,99556
Fritz Creek,AK,Alaska,Kenai Peninsula,99603
Funny River,AK,Alaska,Kenai Peninsula,99669
Diamond Ridge,AK,Alaska,Kenai Peninsula,99603
Cohoe,AK,Alaska,Kenai Peninsula,99610 99568
Bear Creek,AK,Alaska,Kenai Peninsula,99664
Salamatof,AK,Alaska,Kenai Peninsula,99611
Ninilchik,AK,Alaska,Kenai Peninsula,99639
Kasilof,AK,Alaska,Kenai Peninsula,99610
Happy Valley,AK,Alaska,Kenai Peninsula,99556 99639
Fox River,AK,Alaska,Kenai Peninsula,99603
Kachemak,AK,Alaska,Kenai Peninsula,99603
Cooper Landing,AK,Alaska,Kenai Peninsula,99572
Tyonek,AK,Alaska,Kenai Peninsula,99682
Moose Pass,AK,Alaska,Kenai Peninsula,99631
Seldovia,AK,Alaska,Kenai Peninsula,99663
Nikolaevsk,AK,Alaska,Kenai Peninsula,99556
Clam Gulch,AK,Alaska,Kenai Peninsula,99568
Nanwalek,AK,Alaska,Kenai Peninsula,99603
Port Graham,AK,Alaska,Kenai Peninsula,99603
Lowell Point,AK,Alaska,Kenai Peninsula,99664
Seldovia Village,AK,Alaska,Kenai Peninsula,99663
Primrose,AK,Alaska,Kenai Peninsula,99664
Halibut Cove,AK,Alaska,Kenai Peninsula,99603
Crown Point,AK,Alaska,Kenai Peninsula,99664 99631
Hope,AK,Alaska,Kenai Peninsula,99605
Sunrise,AK,Alaska,Kenai Peninsula,99605
Beluga,AK,Alaska,Kenai Peninsula,99682
Ketchikan,AK,Alaska,Ketchikan Gateway,99901 99950
Saxman,AK,Alaska,Ketchikan Gateway,99901
Kodiak,AK,Alaska,Kodiak Island,99615 99619
Kodiak Station,AK,Alaska,Kodiak Island,99615
Womens Bay,AK,Alaska,Kodiak Island,99615
Old Harbor,AK,Alaska,Kodiak Island,99643
Port Lions,AK,Alaska,Kodiak Island,99550
Ouzinkie,AK,Alaska,Kodiak Island,99644
Larsen Bay,AK,Alaska,Kodiak Island,99624 99615
Akhiok,AK,Alaska,Kodiak Island,99615
Karluk,AK,Alaska,Kodiak Island,99615 99608
Aleneva,AK,Alaska,Kodiak Island,99615
Hooper Bay,AK,Alaska,Kusilvak,99604
Chevak,AK,Alaska,Kusilvak,99563
